8/29/13,74,68,61,10,10,10,23,11,28,4,,286,94107
8/30/13,78,69,60,10,10,7,29,13,35,2,,291,94107
8/31/13,71,64,57,10,10,10,26,15,31,4,,284,94107
9/1/13,74,66,58,10,10,10,25,13,29,4,,284,94107
9/2/13,75,69,62,10,10,6,23,12,30,6,,277,94107
9/3/13,73,67,60,10,10,10,24,15,31,2,,276,94107
9/4/13,74,68,61,10,10,10,29,19,35,4,,269,94107
9/5/13,72,66,60,10,10,10,31,21,37,3,,270,94107
9/6/13,85,71,56,10,10,10,24,8,28,0,,287,94107
9/7/13,88,73,58,10,10,10,21,8,25,1,,305,94107
9/8/13,74,65,56,10,10,10,26,11,31,2,,299,94107
9/9/13,76,66,55,10,10,10,26,11,30,1,,303,94107
9/10/13,74,66,57,10,10,10,17,8,21,1,,230,94107
9/11/13,74,68,62,10,10,10,18,9,23,5,,219,94107
9/12/13,71,65,59,10,10,9,25,11,30,7,Fog,268,94107
9/13/13,66,62,57,10,10,7,30,15,37,6,,271,94107
9/14/13,66,62,57,10,10,9,25,16,33,7,,265,94107
9/15/13,73,66,58,10,10,6,23,13,26,5,,276,94107
9/16/13,71,65,59,10,10,6,31,16,39,3,,274,94107
9/17/13,68,63,57,10,10,10,39,22,51,3,,270,94107
9/18/13,78,66,54,10,10,10,25,10,30,1,,278,94107
9/19/13,80,67,54,10,10,10,26,10,33,0,,297,94107
9/20/13,73,65,56,10,10,9,17,10,23,6,,248,94107
9/21/13,68,63,58,10,9,2,24,12,28,6,Rain,218,94107
9/22/13,70,63,55,10,10,10,29,10,35,1,,292,94107
9/23/13,78,68,57,10,10,10,24,9,30,0,,294,94107
9/24/13,71,65,58,10,10,10,36,19,43,1,,277,94107
9/25/13,67,62,56,10,10,10,35,20,45,1,,281,94107
9/26/13,71,62,53,10,10,10,24,11,29,0,,281,94107
9/27/13,78,66,54,10,10,10,23,7,28,0,,279,94107
9/28/13,78,66,53,10,10,10,28,9,32,1,,296,94107
9/29/13,75,66,57,10,10,10,16,7,21,3,,253,94107
9/30/13,73,66,59,10,10,10,22,10,26,4,Fog,264,94107
10/1/13,69,63,56,10,10,10,22,13,26,3,,273,94107
10/2/13,69,62,54,10,10,10,29,14,35,2,,280,94107
10/3/13,70,62,54,10,10,10,25,13,30,0,,294,94107
10/4/13,76,69,61,10,10,10,22,9,25,0,,13,94107
10/5/13,80,69,57,10,10,10,12,5,13,0,,122,94107
10/6/13,83,70,56,10,10,10,14,5,15,4,,345,94107
10/7/13,80,68,56,10,10,10,28,9,31,3,,295,94107
10/8/13,72,62,52,10,10,10,20,10,24,2,,278,94107
10/9/13,68,60,52,10,10,10,17,8,21,2,,286,94107
10/10/13,70,62,53,10,10,10,13,5,15,1,,302,94107
10/11/13,63,57,51,10,10,10,25,9,30,4,,275,94107
10/12/13,64,56,47,10,8,0,32,13,40,3,Fog,252,94107
10/13/13,73,62,51,10,10,10,22,7,26,1,,286,94107
10/14/13,77,64,51,10,10,10,18,5,,0,,272,94107
